--------------------------------------------------------
-- Collect memory reference at line:29@file:../ScriptModule\module.lua
--------------------------------------------------------
-- [Table/Function/String Address/Name]	[Reference Path]	[Reference Count]
--------------------------------------------------------
-- From Root Object: table: 00000140B2BD9400 (registry)
string: "\f"	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:function:debugger_sendMsg].[ups:table:json].encode.[ups:table:json_private].encodeString.[ups:table:escapeList].[string]	3
string: "%D"	registry.2[_G].protobuf.pack.[ups:table:_pattern_cache].[metatable].__index.[ups:function:_pattern_create].[ups:table:_pattern_type].7.1[string]	3
function: 00000140B4EFC1E0	registry.2[_G].package.loaded.MemoryReferenceInfo.m_cBases.CollectObjectReferenceInMemory[line:145@file:../ScriptModule/gxlua/MemoryReferenceInfo.lua]	3
string: "1_190"	registry.2[_G].TableLevelup.80100.CostMoney[string]	3
string: "o"	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:function:debugger_print].[ups:table:ZZBase64].__code.41[string]	3
string: "V"	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:function:debugger_print].[ups:table:ZZBase64].__code.22[string]	3
string: "w"	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:function:debugger_print].[ups:table:ZZBase64].__code.49[string]	3
string: "y"	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:function:debugger_print].[ups:table:ZZBase64].__code.51[string]	3
string: "T"	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:function:debugger_print].[ups:table:ZZBase64].__code.20[string]	3
string: "3"	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:function:debugger_print].[ups:table:ZZBase64].__code.56[string]	3
string: "L"	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:function:debugger_print].[ups:table:ZZBase64].__code.12[string]	3
string: "h"	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:function:debugger_print].[ups:table:ZZBase64].__code.34[string]	3
string: "g"	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:function:debugger_print].[ups:table:ZZBase64].__code.33[string]	3
function: 00007FF69CC0B4D1	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:userdata:debug_server].[userdata:metatable].__tostring[line:-1@file:[C]]	3
string: "Y"	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:function:debugger_print].[ups:table:ZZBase64].__code.25[string]	3
function: 00007FF69D5D7FA0	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:userdata:debug_server].[userdata:metatable].__index[class:tcp{client}].shutdown[line:-1@file:[C]]	3
string: "Z"	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:function:debugger_print].[ups:table:ZZBase64].__code.26[string]	3
string: "1003_180"	registry.2[_G].taskTable.3174.reward2[string]	3
function: 00007FF69D5D7930	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:userdata:debug_server].[userdata:metatable].__index[class:tcp{client}].listen[line:-1@file:[C]]	3
function: 00000140B4992A50	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:function:debugger_sendMsg].[ups:table:json].decode.[ups:function:decode_scanWhitespace][line:522@file:.\LuaDebug.lua]	3
table: 00000140B2BDA080	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:userdata:debug_server].[userdata:metatable]	3
function: 00007FF69D5D8490	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:userdata:debug_server].[userdata:metatable].__index[class:tcp{client}].setoption[line:-1@file:[C]]	3
string: "J"	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:function:debugger_print].[ups:table:ZZBase64].__code.10[string]	3
tcp{client}: 00000140B49C7058	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:userdata:debug_server]	3
string: "\n"	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:function:debugger_sendMsg].[ups:table:json].encode.[ups:table:json_private].encodeString.[ups:table:escapeList].
[string]	3
function: 00007FF69D5D86D0	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:userdata:debug_server].[userdata:metatable].__index[class:tcp{client}].setfd[line:-1@file:[C]]	3
function: 00007FF69D5D7D60	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:userdata:debug_server].[userdata:metatable].__index[class:tcp{client}].getstats[line:-1@file:[C]]	3
string: "1_160"	registry.2[_G].TableLevelup.50120.CostMoney[string]	3
function: 00007FF69D5D7A50	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:userdata:debug_server].[userdata:metatable].__index[class:tcp{client}].getfamily[line:-1@file:[C]]	3
function: 00007FF69D5D8400	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:userdata:debug_server].[userdata:metatable].__index[class:tcp{client}].getoption[line:-1@file:[C]]	3
string: "n"	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:function:debugger_print].[ups:table:ZZBase64].__code.40[string]	3
function: 00000140B49C0820	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:function:debugger_getFilePathInfo][line:761@file:.\LuaDebug.lua]	3
string: "1_750"	registry.2[_G].TableLevelup.250020.CostMoney[string]	3
string: "c"	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:function:debugger_print].[ups:table:ZZBase64].__code.29[string]	3
string: "H"	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:function:debugger_print].[ups:table:ZZBase64].__code.8[string]	3
function: 00007FF69D5D87A0	registry.2[_G].package.loaded.LuaDebug.[ups:function:start].[ups:userdata:debug_server].[userdata:metatable].__index[class:tcp{client}].dirty[line:-1@file:[C]]	3
table: 00000140B2BD8F00	registry.2[_G].package.loaded.lpeg	3
function: 00000140B4A39400	registry.2[_G].package.loaded.ProFi.sortMethod[line:443@file:../ScriptModule/gxlua/ProFi.lua]	3
string: "F"	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:function:debugger_print].[ups:table:ZZBase64].__code.6[string]	3
string: "E"	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:function:debugger_print].[ups:table:ZZBase64].__code.5[string]	3
function: 00000140B4AAE880	registry.2[_G].protobuf.extract.[ups:function:expand][line:510@file:../ScriptModule/gxlua\protobuf.lua]	3
string: "1_600"	registry.2[_G].TableLevelup.170100.CostMoney[string]	3
string: "W"	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:function:debugger_print].[ups:table:ZZBase64].__code.23[string]	3
string: "1_310"	registry.2[_G].TableLevelup.110100.CostMoney[string]	3
string: "9"	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:function:debugger_print].[ups:table:ZZBase64].__code.62[string]	3
string: "+"	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:function:debugger_print].[ups:table:ZZBase64].__code.63[string]	3
string: "N"	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:function:debugger_print].[ups:table:ZZBase64].__code.14[string]	3
string: "7"	registry.2[_G].luaIdePrintErr.[ups:function:debugger_print].[ups:function:debugger_print].[ups:table:ZZBase64].__code.60[string]	3
string: "1_950"	registry.2[_G].TableLevelup.300020.CostMoney[string]	3
